                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2099,                 1.8069,                 1.2733,                0.59847,                0.64023,                0.65353,                0.42907,                 1.2184,                 2.1881,                 1.2854,             0.00066389,             0.00066389,             0.00066389
                      2,                 1.4205,                 1.4133,                 1.3791,                0.63502,                 0.6697,                0.66919,                0.41786,                 1.2727,                 1.8797,                 1.2811,              0.0012779,              0.0012779,              0.0012779
                      3,                 1.4085,                 1.3128,                 1.3558,                0.82314,                0.62476,                0.75102,                0.48767,                 1.1733,                 1.5842,                 1.1925,               0.001839,               0.001839,               0.001839
                      4,                 1.3699,                 1.2659,                 1.3299,                0.88772,                0.59644,                0.74592,                0.49465,                 1.1514,                  1.467,                 1.1752,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2792,                 1.1565,                 1.2791,                0.81073,                0.80369,                0.82917,                0.57356,                 1.0621,                 1.0156,                  1.125,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2531,                 1.1155,                 1.2685,                0.91432,                0.71954,                 0.8437,                0.60903,                0.99348,                0.99433,                 1.0986,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1994,                 1.0877,                 1.2454,                0.95799,                0.70568,                0.85544,                0.62192,                 0.9326,                0.96921,                 1.0679,               0.001604,               0.001604,               0.001604
                      8,                 1.1352,                0.97507,                 1.2076,                0.88713,                0.83172,                0.90479,                0.67734,                0.86642,                 0.7257,                 1.0314,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0979,                0.96128,                  1.186,                0.88172,                0.87427,                0.91323,                0.69688,                0.85537,                0.71145,                  1.026,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0768,                0.91427,                 1.1703,                0.89589,                0.86654,                0.91466,                0.70522,                0.80158,                0.66558,                 0.9963,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0292,                0.89952,                 1.1612,                0.91867,                0.86847,                0.92564,                0.70451,                0.81952,                 0.6644,                 1.0002,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0133,                0.88069,                 1.1489,                0.88392,                0.91103,                0.93157,                0.71792,                0.79778,                0.62492,                 0.9853,               0.001208,               0.001208,               0.001208
                     13,                0.98407,                0.83833,                 1.1305,                0.92213,                0.88395,                0.93374,                0.74021,                0.72302,                0.58899,                0.96019,              0.0011288,              0.0011288,              0.0011288
                     14,                0.96969,                0.80931,                 1.1209,                0.93581,                0.90243,                0.94326,                0.75331,                0.73187,                0.55718,                0.95804,              0.0010496,              0.0010496,              0.0010496
                     15,                0.95716,                0.79388,                 1.1245,                 0.9227,                0.87739,                0.94189,                0.75792,                0.70899,                0.57458,                0.94792,              0.0009704,              0.0009704,              0.0009704
                     16,                0.78916,                0.61687,                 1.0237,                0.94179,                0.90135,                0.94663,                0.75086,                0.73401,                0.54533,                0.97315,              0.0008912,              0.0008912,              0.0008912
                     17,                0.76677,                0.58832,                 1.0209,                0.93865,                0.88774,                 0.9383,                0.77423,                0.68583,                 0.5378,                0.92982,               0.000812,               0.000812,               0.000812
                     18,                0.74368,                0.55796,                 1.0025,                0.94186,                0.91103,                0.94972,                0.77811,                0.67906,                0.50253,                0.94739,              0.0007328,              0.0007328,              0.0007328
                     19,                0.72077,                0.52937,                0.99427,                0.94841,                0.90329,                0.95365,                0.78057,                0.68205,                0.48494,                0.95558,              0.0006536,              0.0006536,              0.0006536
                     20,                0.71267,                0.51913,                  0.989,                0.94099,                0.90716,                0.95398,                0.78603,                 0.6461,                0.46891,                0.93415,              0.0005744,              0.0005744,              0.0005744
                     21,                0.69819,                0.50026,                0.98323,                 0.9422,                 0.9143,                0.95969,                0.80241,                0.61899,                0.44806,                 0.9193,              0.0004952,              0.0004952,              0.0004952
                     22,                0.67642,                0.47897,                0.96698,                0.92777,                 0.9192,                0.95099,                0.80276,                0.61612,                0.44515,                0.92342,               0.000416,               0.000416,               0.000416
                     23,                0.65463,                0.45955,                0.95712,                0.93017,                0.93037,                0.95282,                0.81654,                0.61879,                0.43774,                0.91572,              0.0003368,              0.0003368,              0.0003368
                     24,                 0.6434,                0.43948,                0.95202,                0.94199,                0.92843,                0.96223,                0.81859,                0.59496,                0.40247,                0.91723,              0.0002576,              0.0002576,              0.0002576
                     25,                0.63155,                0.43093,                 0.9485,                0.93067,                0.93471,                0.95674,                0.82239,                0.58184,                  0.407,                 0.9072,              0.0001784,              0.0001784,              0.0001784
