                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3746,                 2.3379,                 1.2942,                0.68613,                0.55985,                0.58111,                0.37355,                 1.2713,                 2.6414,                 1.1635,             0.00065844,             0.00065844,             0.00065844
                      2,                 1.3633,                 1.6216,                 1.2824,                 0.6115,                0.30888,                0.35823,                0.17015,                 1.8383,                 3.1915,                  1.599,              0.0012726,              0.0012726,              0.0012726
                      3,                 1.4381,                 1.3939,                 1.3228,                 0.4932,                0.31853,                0.32066,                0.16588,                 1.8351,                 4.3936,                 1.7842,               0.001834,               0.001834,               0.001834
                      4,                 1.4117,                 1.2697,                 1.3178,                0.46651,                0.14479,                0.14832,                0.08943,                 2.1103,                  4.156,                 2.1549,              0.0017624,              0.0017624,              0.0017624
                      5,                   1.31,                  1.143,                 1.2597,                0.63898,                0.23938,                0.26249,                 0.1581,                 1.8035,                 5.2408,                 1.7515,              0.0017624,              0.0017624,              0.0017624
                      6,                  1.274,                 1.1016,                  1.246,                0.85817,                0.72008,                0.78746,                0.50634,                 1.2222,                 1.0898,                 1.1741,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2318,                 1.0495,                 1.2144,                0.86304,                0.79151,                 0.8333,                0.57405,                 1.1085,                0.90907,                 1.1283,               0.001604,               0.001604,               0.001604
                      8,                 1.1827,                 1.0025,                 1.1933,                0.92188,                0.77455,                0.85306,                 0.6223,                0.96607,                0.91379,                  1.045,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.1456,                0.97667,                 1.1677,                0.69273,                 0.7973,                0.78063,                0.54716,                 1.0626,                 0.9335,                 1.0992,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.1139,                0.91093,                 1.1513,                0.90741,                0.83246,                0.87202,                0.64431,                0.92587,                0.71486,                 1.0243,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0813,                0.88237,                 1.1378,                0.89316,                0.84363,                0.88309,                0.65306,                0.92093,                0.74512,                 1.0107,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0632,                0.88032,                  1.137,                0.90281,                0.85328,                0.89751,                 0.6564,                 0.9154,                0.68831,                 1.0111,               0.001208,               0.001208,               0.001208
                     13,                  1.037,                 0.8634,                 1.1269,                0.86981,                0.82625,                0.87632,                0.66273,                0.87504,                 0.6999,                 1.0032,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0082,                0.82431,                  1.106,                0.91853,                0.82046,                  0.893,                0.68714,                0.81775,                0.64769,                0.97679,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.0171,                0.84116,                 1.1121,                0.91192,                0.86486,                0.90561,                0.69172,                0.82963,                0.63547,                0.98769,              0.0009704,              0.0009704,              0.0009704
                     16,                0.86347,                0.62309,                 1.0291,                 0.9017,                0.86773,                0.90251,                0.70283,                0.81171,                0.62303,                0.97184,              0.0008912,              0.0008912,              0.0008912
                     17,                0.82972,                0.59967,                 1.0131,                0.92951,                0.89094,                0.91336,                0.70813,                0.79483,                0.61047,                0.96741,               0.000812,               0.000812,               0.000812
                     18,                0.81018,                0.57037,                0.99923,                0.94091,                0.86486,                0.90251,                 0.7123,                0.78782,                0.57891,                0.96058,              0.0007328,              0.0007328,              0.0007328
                     19,                0.80568,                0.55035,                0.99168,                0.96041,                0.84291,                0.90507,                0.71011,                0.77529,                0.63919,                0.95457,              0.0006536,              0.0006536,              0.0006536
                     20,                0.77635,                 0.5321,                0.98608,                0.95603,                0.89575,                0.93876,                  0.752,                 0.7366,                0.49756,                0.93523,              0.0005744,              0.0005744,              0.0005744
                     21,                 0.7505,                0.51514,                0.97901,                0.95015,                0.88308,                0.91842,                0.72961,                 0.7334,                0.54369,                0.94452,              0.0004952,              0.0004952,              0.0004952
                     22,                0.73267,                0.49083,                0.96262,                0.95458,                0.89259,                0.93455,                0.74793,                0.71936,                0.49383,                0.93035,               0.000416,               0.000416,               0.000416
                     23,                0.72422,                0.48123,                0.95841,                0.95472,                 0.8955,                0.92542,                0.73683,                0.72928,                0.51405,                0.93884,              0.0003368,              0.0003368,              0.0003368
                     24,                0.70192,                0.46607,                0.94904,                 0.9528,                0.89768,                0.92794,                 0.7554,                0.69453,                0.48028,                0.92248,              0.0002576,              0.0002576,              0.0002576
                     25,                0.69382,                0.45763,                0.94494,                0.96701,                0.90534,                0.93414,                0.76266,                0.68255,                0.46704,                0.91395,              0.0001784,              0.0001784,              0.0001784
