                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.211,                 2.2908,                 1.2136,                0.48481,                0.11799,                0.11123,                0.04636,                 1.6971,                 4.2736,                 1.8619,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.3098,                 1.6291,                 1.2497,                0.34338,                0.41068,                0.32667,                0.19018,                  1.606,                 2.7206,                 1.4973,              0.0012725,              0.0012725,              0.0012725
                      3,                 1.3914,                 1.4372,                 1.3012,                0.43467,                0.38491,                0.32355,                0.20172,                  1.521,                 3.7043,                  1.441,              0.0018339,              0.0018339,              0.0018339
                      4,                 1.3632,                 1.2656,                 1.2896,                0.85271,                0.48549,                0.59502,                0.39446,                 1.2352,                 3.0785,                 1.2524,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2922,                  1.183,                 1.2497,                0.80884,                0.66731,                0.74161,                0.47841,                 1.1821,                 1.3246,                 1.1807,              0.0017624,              0.0017624,              0.0017624
                      6,                  1.211,                  1.066,                 1.2193,                0.87663,                0.69052,                0.81399,                0.56923,                0.97555,                 1.0291,                 1.0481,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2039,                  1.072,                 1.2122,                0.81448,                0.79304,                0.84081,                0.57188,                0.99631,                0.93804,                 1.0834,               0.001604,               0.001604,               0.001604
                      8,                  1.152,                0.99969,                 1.1911,                0.87102,                0.83366,                0.87083,                0.61726,                0.95894,                0.93881,                 1.0636,              0.0015248,              0.0015248,              0.0015248
                      9,                  1.108,                0.93082,                 1.1696,                0.87764,                0.79078,                0.86946,                 0.6239,                0.93036,                0.84057,                 1.0443,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0872,                0.91636,                 1.1627,                0.86644,                0.87621,                0.90706,                0.69101,                0.83061,                0.70894,                0.98724,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0808,                0.89988,                 1.1588,                 0.8639,                0.82257,                0.89547,                0.67614,                0.83319,                0.68832,                0.99516,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0226,                0.85768,                  1.124,                0.88981,                0.82592,                0.89957,                0.68365,                0.80546,                0.73704,                0.97987,               0.001208,               0.001208,               0.001208
                     13,                 1.0097,                 0.8356,                 1.1219,                0.89635,                0.77176,                0.86904,                0.65818,                0.86167,                0.78108,                 1.0243,              0.0011288,              0.0011288,              0.0011288
                     14,                0.98458,                0.81839,                 1.1128,                0.90388,                0.86074,                0.90791,                0.71108,                0.77817,                0.62322,                0.95954,              0.0010496,              0.0010496,              0.0010496
                     15,                0.96503,                0.78949,                 1.1041,                0.92332,                0.89942,                0.94415,                0.74894,                0.70739,                0.56293,                0.94098,              0.0009704,              0.0009704,              0.0009704
                     16,                0.80294,                0.62248,                 1.0166,                0.92266,                0.87687,                0.92884,                0.75151,                0.70581,                0.56823,                0.94411,              0.0008912,              0.0008912,              0.0008912
                     17,                0.80078,                0.60369,                 1.0136,                0.93316,                0.89118,                0.93977,                 0.7563,                0.72728,                0.52565,                 0.9516,               0.000812,               0.000812,               0.000812
                     18,                0.76938,                0.57572,                0.99899,                0.94442,                0.88732,                0.94288,                 0.7804,                0.65311,                0.53678,                0.92703,              0.0007328,              0.0007328,              0.0007328
                     19,                0.75261,                0.55299,                0.99306,                 0.9461,                0.89168,                0.94438,                0.76685,                 0.6814,                0.51199,                0.92939,              0.0006536,              0.0006536,              0.0006536
                     20,                0.74565,                0.53585,                0.98585,                 0.9309,                0.91204,                0.95375,                0.78267,                0.66926,                0.48182,                0.91188,              0.0005744,              0.0005744,              0.0005744
                     21,                0.71587,                0.51468,                0.97197,                0.94625,                0.89362,                0.94521,                0.77858,                0.64608,                0.49407,                0.92203,              0.0004952,              0.0004952,              0.0004952
                     22,                0.68699,                 0.4891,                0.96153,                0.97095,                0.90507,                0.95284,                0.79646,                0.62964,                0.44425,                 0.9078,               0.000416,               0.000416,               0.000416
                     23,                0.68041,                0.47998,                0.95833,                0.94566,                0.91683,                0.94799,                0.80041,                0.60731,                0.45822,                0.89265,              0.0003368,              0.0003368,              0.0003368
                     24,                 0.6604,                0.45983,                0.94317,                0.95536,                0.90909,                0.95055,                0.79965,                0.59444,                0.43608,                0.88884,              0.0002576,              0.0002576,              0.0002576
                     25,                0.64318,                0.44082,                0.94357,                0.96118,                   0.91,                0.95226,                0.81553,                0.57804,                0.41614,                0.88754,              0.0001784,              0.0001784,              0.0001784
